Grouping,Company Name,Tech Day URL,Social Profiles URLs,Company Description,Company URL
Exhibitors,Make Music Count,https://techdayhq.com/companies/make-music-count-62fd1a5c-0e7d-469c-b005-d10c9c2b1e60,"https://m.facebook.com/MakeMusicCountLlc/,http://twitter.com/@_makemusiccount,http://linkedin.com/in/marcus-blackwell-72972245,/community/startups/make-music-count-62fd1a5c-0e7d-469c-b005-d10c9c2b1e60","The mission of Make Music Count is to increase elementary and secondary students’ mathematical skill development through piano playing and reducing their math anxiety. By incorporating music into each lesson, students become engaged through music while simultaneously learning mathematical concepts. Each lesson is based on learning musical notes in a song. Each note is derived through a mathematical equation that varies from addition and subtraction to algebraic equations. Therefore, solving math equations leads directly to playing the piano, and a more positive attitude towards math.",www.makemusiccount.com
Exhibitors,Foundersuite.com,https://techdayhq.com/companies/foundersuite-com,"https://www.facebook.com/FounderSuite/,http://twitter.com/foundersuite,https://www.linkedin.com/company/3198216/,/community/startups/foundersuite-com","Foundersuite.com helps startups raise capital and build investor relationships. Foundersuite includes an Investor CRM for managing your funnel, a searchable Angel / VC database, and an Investor Updater tool to create regular progress reports. Foundersuite also includes an extensive collection of Startup Docs as well as discounts on other products in FoundersMarket. ",www.foundersuite.com
Exhibitors,E-Bi China Contract Manufacturing,https://techdayhq.com/companies/e-bi-china-contract-manufacturing,http://twitter.com/@ebi_Intl,,http://e-bi.com/
Exhibitors,Apprentice.io,https://techdayhq.com/companies/apprentice,"http://twitter.com/ApprenticeFS,https://www.linkedin.com/company/apprentice-field-suite/",,http://apprentice.io
Exhibitors,publi.sh,https://techdayhq.com/companies/publi-sh-d34ce42c-2384-466e-95d6-b387c8470c88,/community/startups/publi-sh-d34ce42c-2384-466e-95d6-b387c8470c88,"publi.sh is a content creation agency. We work with companies as a dedicated content creation resource, creating material to be used in their inbound marketing campaigns.",https://www.publi.sh
Exhibitors,Celmatix,https://techdayhq.com/companies/celmatix-0de5c7df-094f-4e79-b90a-2ac73899387b,"https://www.facebook.com/Celmatix/,http://twitter.com/https://twitter.com/celmatix,https://www.linkedin.com/company/celmatix/,/community/startups/celmatix-0de5c7df-094f-4e79-b90a-2ac73899387b","Named one of Fast Company's ""50 Most Innovative Companies in 2017,"" Celmatix is changing the face of women’s health through the development of digital tools and genetic insights focused on fertility potential. Our unique approach combines data science and genomics to bring personalized medicine to fertility. Our leadership team includes a diverse group of world-class scientists and professionals, including our Founder and CEO Dr. Piraye Yurttas Beim, who was recently recognized by Fortune Magazine as one of 15 Entrepreneurs Disrupting their Industries, Inc Magazine’s 10 Women to Watch in Tech, an Aspen Institute Health Innovator Fellow, and an NYC Venture Fellow by the NYCEDC.",https://celmatix.com/careers
Exhibitors,"mui Lab, Inc",https://techdayhq.com/companies/mui-lab-inc,"https://www.facebook.com/nisshamui,http://twitter.com/mui_smartwood,/community/startups/mui-lab-inc","mui is an aesthetically-pleasing wooden IoT device connected to a cloud service. By accessing information through natural wood, we can rethink a new type of lifestyle.",http://mui.jp
Exhibitors,Bokksu,https://techdayhq.com/companies/bokksu-ffe0f700-2371-45aa-8a71-fa9649fd26b1,"https://www.facebook.com/bokksu,http://twitter.com/bokksu,https://www.linkedin.com/company/bokksu/,/community/startups/bokksu-ffe0f700-2371-45aa-8a71-fa9649fd26b1","Bokksu is a premium Japanese snack and tea subscription box that will take you on a gourmet journey through Japan each month. From Hokkaido white chocolate butter cookies to Kyoto handground matcha, get the experience of tasting authentic Japanese treats delivered to your door. Bokksu is the only subscription box that sources its products directly from artisanal producers in Japan so our delicious snacks and teas cannot be found anywhere else. ",https://www.bokksu.com
Exhibitors,VoiceNEXT,https://techdayhq.com/companies/voicenext-b934c031-af9f-403b-a0ee-97bb98ae0515,"https://www.facebook.com/VoiceNEXT/,http://twitter.com/https://twitter.com/VoiceNEXT,https://www.linkedin.com/company/1593830/","VoiceNEXT is a phone company that hosts our clients’ phone systems in the Cloud.  That means several things.  There are savings up to 80% over the cost of other business phone systems because there is no “phone system” to buy.  Our customers need only buy the phones.  Our voice quality is unparalleled.  You need never miss an important phone call ever again as our mobility features can keep you in touch no matter where you happen to be.  Snow storm keeping you from getting to the office?  Is there a power outage?  Is the Internet down?  None of these will interrupt your ability to communicate if you are a VoiceNEXT customer. 
The most important reason to consider moving your business phone services to VoiceNEXT is that we care as much about our business you do.  We are the phone company that ALWAYS answers the phone.  Need help, need to make a change, we are there for you 24/7/365.  There is no need to press ten buttons before you get to speak to a live person.  
So if your old phone system is on its last legs, or if you want to reduce costs, increase efficiency and productivity, give us a call us to talk about how VoiceNEXT can help your business grow.  Let us take manage your communications so that you can manage of your business.
",www.voicenext.com
Exhibitors,Tracars,https://techdayhq.com/companies/tracars-7aedeecb-02db-4e83-a30b-bf28bc19b459,"https://www.facebook.com/Tracars-149657072287163/,http://twitter.com/https://twitter.com/tracars,https://www.linkedin.com/showcase/13420335/,/community/startups/tracars-7aedeecb-02db-4e83-a30b-bf28bc19b459","Car owners: Make yours a connected car and reap the benefits of connected car technology to save money, improve safety and have fun! 
Local businesses: Delight your loyal customers with our on-demand marketing platform!  ",http://tracars.com/
